# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Jan 14 16:34:50 2026
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1
# CONSTRAINT:  and pl_controv_flag = 0)
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
# COLUMN releasedate:    Release Date
#
pl_name,hostname,default_flag,discoverymethod,disc_year,disc_facility,pl_controv_flag,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,sy_dist,sy_disterr1,sy_disterr2,releasedate
BD-08 2823 c,BD-08 2823,1,Radial Velocity,2009,La Silla Observatory,0,,,,,41.33420000,0.06850000,-0.06820000,2014-05-14
BD-10 3166 b,BD-10 3166,1,Radial Velocity,2000,W. M. Keck Observatory,0,,,,,84.40690000,0.35370000,-0.35080000,2018-09-06
BD-11 4672 b,BD-11 4672,1,Radial Velocity,2014,La Silla Observatory,0,,,,,27.16650000,0.03460000,-0.03460000,2020-07-23
BD-11 4672 c,BD-11 4672,1,Radial Velocity,2020,Roque de los Muchachos Observatory,0,,,,,27.16650000,0.03460000,-0.03460000,2020-07-23
BD-13 2130 b,BD-13 2130,1,Radial Velocity,2007,La Silla Observatory,0,,,,,925.21400000,41.21100000,-41.21100000,2018-09-06
BD-14 3065 b,BD-14 3065 A,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),0,21.59000000,1.05000000,-1.05000000,0,589.42300000,16.59900000,-15.72900000,2024-06-25
BD-17 63 b,BD-17 63,1,Radial Velocity,2008,La Silla Observatory,0,,,,,34.46030000,0.09290000,-0.09240000,2024-09-13
BD-210397 b,BD-210397,1,Radial Velocity,2023,La Silla Observatory,0,,,,,23.73240000,0.02280000,-0.02270000,2023-06-27
BD-210397 c,BD-210397,1,Radial Velocity,2023,La Silla Observatory,0,,,,,23.73240000,0.02280000,-0.02270000,2023-09-05
BEBOP-3 b,BEBOP-3,1,Radial Velocity,2025,Haute-Provence Observatory,0,,,,,119.05200000,0.34100000,-0.34000000,2025-08-14
BEBOP-4 AB b,BEBOP-4 A,1,Radial Velocity,2025,Haute-Provence Observatory,0,,,,,234.29400000,2.19400000,-2.15500000,2025-11-20
Barnard b,Barnard's star,1,Radial Velocity,2024,Paranal Observatory,0,,,,,1.82655000,0.00097500,-0.00097500,2025-03-10
Barnard c,Barnard's star,1,Radial Velocity,2025,Gemini Observatory,0,,,,,1.82655000,0.00097500,-0.00097500,2025-03-10
Barnard d,Barnard's star,1,Radial Velocity,2025,Gemini Observatory,0,,,,,1.82655000,0.00097500,-0.00097500,2025-03-10
Barnard e,Barnard's star,1,Radial Velocity,2025,Gemini Observatory,0,,,,,1.82655000,0.00097500,-0.00097500,2025-03-10
CD Cet b,CD Cet,1,Radial Velocity,2020,Calar Alto Observatory,0,,,,,8.60715000,0.00658000,-0.00658000,2021-11-02
CD-35 2722 b,CD-35 2722,1,Imaging,2011,Gemini Observatory,0,17.37392009,0.56044903,-0.67253884,0,22.38960000,0.01325000,-0.01325000,2025-12-11
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,1,Imaging,2011,W. M. Keck Observatory,0,,,,,,,,2014-05-14
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,1,Imaging,2021,Hubble Space Telescope,0,20.84870410,0.56044903,-0.56044903,0,,,,2021-05-17
CHXR 73 b,CHXR 73,1,Imaging,2006,Hubble Space Telescope,0,,,,,190.37400000,6.64700000,-6.22000000,2014-05-14
CI Tau c,CI Tau,1,Radial Velocity,2024,Multiple Observatories,0,,,,,157.99800000,1.19800000,-1.18000000,2024-04-05
COCONUTS-2 b,COCONUTS-2 A,1,Imaging,2021,NASA Infrared Telescope Facility (IRTF),0,12.44196858,0.33626942,-0.44835923,0,10.88640000,0.00410000,-0.00420000,2024-11-04
CT Cha b,CT Cha,1,Imaging,2007,Paranal Observatory,0,24.66000000,9.08000000,-6.73000000,0,190.72000000,0.77800000,-0.77100000,2014-05-14
CoRoT-1 b,CoRoT-1,1,Transit,2008,CoRoT,0,16.70000000,0.90000000,-0.90000000,0,787.90900000,23.49100000,-23.49100000,2014-05-14
CoRoT-10 b,CoRoT-10,1,Transit,2010,CoRoT,0,10.87000000,0.78000000,-0.78000000,0,338.38600000,3.98650000,-3.98650000,2014-05-14
CoRoT-11 b,CoRoT-11,1,Transit,2010,CoRoT,0,16.03000000,0.34000000,-0.34000000,0,655.03700000,24.94700000,-23.20900000,2014-05-14
CoRoT-12 b,CoRoT-12,1,Transit,2010,CoRoT,0,16.14000000,1.46000000,-1.46000000,0,1126.37000000,55.74500000,-55.74500000,2014-05-14
CoRoT-13 b,CoRoT-13,1,Transit,2010,CoRoT,0,9.92000000,0.15700000,-0.15700000,0,1148.93000000,62.12000000,-56.15000000,2014-05-14
CoRoT-14 b,CoRoT-14,1,Transit,2010,CoRoT,0,12.22000000,0.78000000,-0.78000000,0,1744.60000000,173.03000000,-144.90000000,2014-05-14
CoRoT-16 b,CoRoT-16,1,Transit,2011,CoRoT,0,13.11000000,1.79000000,-1.57000000,0,732.40900000,35.34400000,-32.28200000,2014-05-14
CoRoT-17 b,CoRoT-17,1,Transit,2011,CoRoT,0,11.43000000,0.78000000,-0.78000000,0,1176.12000000,57.17000000,-52.19000000,2014-05-14
CoRoT-18 b,CoRoT-18,1,Transit,2011,CoRoT,0,14.68000000,2.02000000,-2.02000000,0,764.88900000,27.61400000,-25.78400000,2014-05-14
CoRoT-19 b,CoRoT-19,1,Transit,2011,CoRoT,0,14.46000000,0.34000000,-0.34000000,0,790.66300000,26.73700000,-25.07100000,2014-05-14
CoRoT-2 b,CoRoT-2,1,Transit,2008,CoRoT,0,16.43200000,0.47100000,-0.49300000,0,213.28300000,2.48500000,-2.43000000,2014-05-14
CoRoT-20 b,CoRoT-20,1,Transit,2011,CoRoT,0,,,,,844.06100000,24.17100000,-22.88300000,2018-07-19
CoRoT-20 c,CoRoT-20,1,Radial Velocity,2018,Multiple Observatories,0,,,,,844.06100000,24.17100000,-22.88300000,2018-07-19
CoRoT-21 b,CoRoT-21,1,Transit,2012,CoRoT,0,14.57170000,1.56926000,-1.56926000,0,,,,2018-12-06
CoRoT-22 b,CoRoT-22,1,Transit,2014,CoRoT,0,4.88000000,0.17000000,-0.39000000,0,627.15800000,11.18700000,-10.80800000,2014-08-21
CoRoT-23 b,CoRoT-23,1,Transit,2011,CoRoT,0,11.77000000,1.46000000,-1.46000000,0,1060.97000000,45.47000000,-41.94000000,2014-05-14
CoRoT-24 b,CoRoT-24,1,Transit,2014,CoRoT,0,3.70000000,0.40000000,-0.40000000,0,591.55500000,16.04300000,-15.23200000,2018-05-31
CoRoT-24 c,CoRoT-24,1,Transit,2014,CoRoT,0,5.00000000,0.50000000,-0.50000000,0,591.55500000,16.04300000,-15.23200000,2014-06-11
CoRoT-25 b,CoRoT-25,1,Transit,2013,CoRoT,0,12.11000000,3.40000000,-1.12000000,0,1103.48000000,44.28000000,-41.05000000,2014-05-14
CoRoT-26 b,CoRoT-26,1,Transit,2013,CoRoT,0,14.12000000,1.46000000,-0.78000000,0,1045.18000000,,,2014-05-14
CoRoT-27 b,CoRoT-27,1,Transit,2014,CoRoT,0,11.28700000,0.49300000,-0.49300000,0,1010.28000000,69.26000000,-61.03600000,2014-05-14
CoRoT-28 b,CoRoT-28,1,Transit,2015,CoRoT,0,10.70459500,0.73979400,-0.73979400,0,766.18300000,14.68500000,-14.15200000,2015-04-16
CoRoT-29 b,CoRoT-29,1,Transit,2015,CoRoT,0,10.08810000,1.79344000,-1.79344000,0,806.50700000,44.02700000,-39.76000000,2015-04-16
CoRoT-3 b,CoRoT-3,1,Transit,2008,CoRoT,0,11.32000000,0.78000000,-0.78000000,0,768.77100000,30.79100000,-28.54500000,2014-05-14
CoRoT-30 b,CoRoT-30,1,Transit,2020,CoRoT,0,11.30988100,0.85188400,-0.85188400,0,1032.23000000,48.57000000,-44.46700000,2020-04-16
CoRoT-31 b,CoRoT-31,1,Transit,2020,CoRoT,0,16.36514000,3.36270000,-3.36270000,0,2005.76000000,169.79000000,-145.71000000,2020-04-16
CoRoT-32 b,CoRoT-32,1,Transit,2018,CoRoT,0,6.38913000,0.67254000,-0.56045000,0,576.68300000,10.43600000,-10.43600000,2017-09-15
CoRoT-35 b,CoRoT-35,1,Transit,2022,CoRoT,0,18.83108758,1.23298788,-1.23298788,0,1123.21000000,55.90000000,-50.92000000,2022-08-01
CoRoT-36 b,CoRoT-36,1,Transit,2022,CoRoT,0,15.80466279,1.56925730,-1.56925730,0,925.95800000,27.79600000,-26.24700000,2022-08-01
CoRoT-4 b,CoRoT-4,1,Transit,2008,CoRoT,0,13.34000000,0.67000000,-0.56000000,0,726.41200000,15.18100000,-14.58200000,2014-05-14
CoRoT-5 b,CoRoT-5,1,Transit,2009,CoRoT,0,15.55800000,0.51600000,-0.52700000,0,882.47200000,25.62000000,-25.62000000,2014-05-14
CoRoT-6 b,CoRoT-6,1,Transit,2009,CoRoT,0,13.06800000,0.39200000,-0.39200000,0,645.29400000,12.45300000,-11.99700000,2014-05-14
CoRoT-7 b,CoRoT-7,1,Transit,2009,CoRoT,0,1.68135000,0.11209000,-0.11209000,0,159.90600000,0.91700000,-0.90600000,2020-11-19
CoRoT-7 c,CoRoT-7,1,Radial Velocity,2009,CoRoT,0,,,,,159.90600000,0.91700000,-0.90600000,2015-09-10
CoRoT-7 d,CoRoT-7,1,Radial Velocity,2022,La Silla Observatory,0,,,,,159.90600000,0.91700000,-0.90600000,2022-08-16
CoRoT-8 b,CoRoT-8,1,Transit,2010,CoRoT,0,6.39000000,0.22000000,-0.22000000,0,322.03700000,2.71400000,-2.71400000,2014-05-14
CoRoT-9 b,CoRoT-9,1,Transit,2009,CoRoT,0,11.94879400,0.84067500,-0.70616700,0,412.98000000,4.72500000,-4.62200000,2017-12-14
DE CVn b,DE CVn,1,Eclipse Timing Variations,2018,Multiple Facilities,0,,,,,30.52250000,0.02840000,-0.02850000,2019-07-11
DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,1,Astrometry,2013,Paranal Observatory,0,,,,,,,,2014-05-14
DH Tau b,DH Tau,1,Imaging,2004,Subaru Telescope,0,,,,,134.84600000,1.28200000,-1.25800000,2014-05-14
DMPP-1 b,DMPP-1,1,Radial Velocity,2019,La Silla Observatory,0,,,,,62.53880000,0.17820000,-0.17730000,2020-01-30
DMPP-1 c,DMPP-1,1,Radial Velocity,2019,La Silla Observatory,0,,,,,62.53880000,0.17820000,-0.17730000,2020-01-30
DMPP-1 d,DMPP-1,1,Radial Velocity,2019,La Silla Observatory,0,,,,,62.53880000,0.17820000,-0.17730000,2020-01-30
DMPP-1 e,DMPP-1,1,Radial Velocity,2019,La Silla Observatory,0,,,,,62.53880000,0.17820000,-0.17730000,2020-01-30
DMPP-2 b,DMPP-2,1,Radial Velocity,2019,Multiple Facilities,0,,,,,137.94000000,0.68100000,-0.67500000,2020-01-30
DMPP-3 A b,DMPP-3 A,1,Radial Velocity,2019,La Silla Observatory,0,,,,,45.23000000,1.60000000,-1.72000000,2020-01-30
DMPP-4 b,DMPP-4,1,Radial Velocity,2023,Multiple Observatories,0,,,,,25.32840000,0.03820000,-0.03800000,2023-08-07
DP Leo b,DP Leo,1,Eclipse Timing Variations,2009,Yunnan Astronomical Observatory,0,,,,,305.68400000,33.55400000,-27.60400000,2014-05-14
DS Tuc A b,DS Tuc A,1,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),0,5.70000000,0.17000000,-0.17000000,0,44.06220000,0.06930000,-0.06910000,2019-07-11
EPIC 201170410.02,EPIC 201170410,1,Transit,2020,K2,0,1.04700000,0.27600000,-0.25700000,0,,,,2020-11-19
EPIC 201238110 b,EPIC 201238110,1,Transit,2019,K2,0,1.87000000,0.20000000,-0.45000000,0,159.25900000,1.41400000,-1.39000000,2019-06-13
EPIC 201427007 b,EPIC 201427007,1,Transit,2021,K2,0,1.50000000,0.20000000,-0.20000000,0,706.39100000,16.79000000,-16.79000000,2021-10-25
EPIC 201497682 b,EPIC 201497682,1,Transit,2019,K2,0,0.69200000,0.05900000,-0.04800000,0,253.02600000,1.66400000,-1.66400000,2019-06-13
EPIC 201595106 b,EPIC 201595106,1,Transit,2021,K2,0,1.56500000,0.07900000,-0.07900000,0,232.10000000,2.70600000,-2.64600000,2025-01-29
EPIC 201615463 c,K2-166,1,Transit,2019,K2,0,1.22000000,0.21000000,-0.17000000,0,476.88200000,9.69200000,-9.32100000,2019-06-13
EPIC 201754305 d,K2-16,1,Transit,2019,K2,0,1.03000000,0.08500000,-0.08600000,0,334.96700000,4.17850000,-4.17850000,2019-06-13
EPIC 201757695.02,EPIC 201757695,1,Transit,2020,K2,0,0.90819000,0.05861000,-0.06401000,0,,,,2020-11-19
EPIC 201833600 c,K2-50,1,Transit,2019,K2,0,1.00000000,0.12000000,-0.11000000,0,257.44300000,3.23900000,-3.23900000,2019-06-13
EPIC 201841433 b,EPIC 201841433,1,Transit,2019,K2,0,1.04000000,0.03700000,-0.03200000,0,436.48800000,8.17800100,-7.88800000,2020-11-19
EPIC 205950854 c,K2-168,1,Transit,2019,K2,0,1.31000000,0.14400000,-0.06300000,0,243.93500000,4.23900000,-4.09900000,2019-08-15
EPIC 206024342 b,EPIC 206024342,1,Transit,2019,K2,0,1.70000000,0.59000000,-0.31000000,0,369.88800000,4.99000000,-4.86000000,2019-06-13
EPIC 206024342 c,EPIC 206024342,1,Transit,2021,K2,0,1.40000000,0.50000000,-0.50000000,0,369.88800000,4.99000000,-4.86000000,2021-10-25
EPIC 206024342 d,EPIC 206024342,1,Transit,2021,K2,0,2.60000000,0.90000000,-0.90000000,0,369.88800000,4.99000000,-4.86000000,2021-10-25
EPIC 206032309 b,EPIC 206032309,1,Transit,2019,K2,0,1.01000000,0.24000000,-0.13000000,0,161.36500000,1.79300000,-1.79300000,2019-06-13
EPIC 206042996 b,EPIC 206042996,1,Transit,2019,K2,0,1.70000000,0.20000000,-0.20000000,0,451.76900000,13.97600000,-13.17600000,2022-03-28
EPIC 206042996 c,EPIC 206042996,1,Transit,2021,K2,0,1.20000000,0.20000000,-0.10000000,0,451.76900000,13.97600000,-13.17600000,2021-10-25
EPIC 206215704 b,EPIC 206215704,1,Transit,2019,K2,0,1.00000000,0.10000000,-0.09000000,0,109.88800000,1.08000000,-1.08000000,2022-03-28
EPIC 206317286 b,EPIC 206317286,1,Transit,2019,K2,0,0.96000000,0.11000000,-0.15000000,0,314.35000000,2.93600000,-2.88200000,2019-06-13
